index,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,ALE,Min_ALE,Max_ALE,US_ALE,All_Death,Min_All_Death,Max_All_Death,US_All_Death,CI_Min_All_Death,CI_Max_All_Death,Health_Status,Min_Health_Status,Max_Health_Status,US_Health_Status,CI_Min_Health_Status,CI_Max_Health_Status,Unhealthy_Days,Min_Unhealthy_Days,Max_Unhealthy_Days,US_Unhealthy_Days,CI_Min_Unhealthy_Days,CI_Max_Unhealthy_Days
2662,48,283,La Salle,Texas,TX,86,75.4,66.6,77.8,76.5,997.9,804.8,1128.9,898.6,911.4,1084.4,-1111.1,11.1,36.0,17.1,-1111.1,-1111.1,-1111.1,3.9,9.9,6,-1111.1,-1111.1
2663,48,285,Lavaca,Texas,TX,62,76.3,74.1,77.0,76.5,843.8,843.8,1037.1,898.6,810.3,877.4,-1111.1,14.4,33.1,17.1,-1111.1,-1111.1,3.4,4.2,7.9,6,1.3,5.5
2664,48,287,Lee,Texas,TX,40,76.6,76.1,78.9,76.5,853.4,726.1,934.1,898.6,809.7,897.0,-1111.1,9.0,21.7,17.1,-1111.1,-1111.1,-1111.1,4.0,6.8,6,-1111.1,-1111.1
2665,48,289,Leon,Texas,TX,61,74.4,75.2,77.8,76.5,979.5,790.9,973.6,898.6,934.8,1024.3,-1111.1,13.3,26.2,17.1,-1111.1,-1111.1,-1111.1,4.9,8.0,6,-1111.1,-1111.1
2666,48,291,Liberty,Texas,TX,23,72.6,73.7,77.3,76.5,1153.2,855.1,1103.9,898.6,1113.9,1192.5,18.6,13.7,24.0,17.1,10.2,27.0,7.4,4.8,7.7,6,5.2,9.5
2667,48,293,Limestone,Texas,TX,76,74.0,72.2,75.5,76.5,1131.9,992.4,1133.0,898.6,1091.3,1172.4,-1111.1,17.4,31.8,17.1,-1111.1,-1111.1,5.5,5.3,8.8,6,2.9,8.2
2668,48,295,Lipscomb,Texas,TX,82,75.9,75.4,78.3,76.5,840.0,722.4,903.3,898.6,751.2,928.9,-1111.1,7.4,22.8,17.1,-1111.1,-1111.1,-1111.1,2.7,6.3,6,-1111.1,-1111.1
2669,48,297,Live Oak,Texas,TX,74,77.1,73.3,76.9,76.5,737.3,854.9,1097.1,898.6,692.2,782.5,-1111.1,10.8,33.7,17.1,-1111.1,-1111.1,-1111.1,3.0,11.3,6,-1111.1,-1111.1
2670,48,299,Llano,Texas,TX,61,77.8,75.2,77.8,76.5,790.9,790.9,973.6,898.6,756.3,825.6,-1111.1,13.3,26.2,17.1,-1111.1,-1111.1,-1111.1,4.9,8.0,6,-1111.1,-1111.1
2671,48,301,Loving,Texas,TX,78,75.5,75.7,80.8,76.5,-1111.1,565.5,1036.9,898.6,-1111.1,-1111.1,-1111.1,4.0,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
2672,48,303,Lubbock,Texas,TX,7,76.0,72.7,78.5,76.5,918.4,782.1,1107.4,898.6,895.2,941.7,15.5,15.5,25.1,17.1,12.2,18.8,5.7,5.4,7.4,6,4.8,6.6
2673,48,305,Lynn,Texas,TX,74,75.4,73.3,76.9,76.5,1003.9,854.9,1097.1,898.6,928.1,1079.8,-1111.1,10.8,33.7,17.1,-1111.1,-1111.1,-1111.1,3.0,11.3,6,-1111.1,-1111.1
2674,48,307,McCulloch,Texas,TX,74,75.4,73.3,76.9,76.5,1043.7,854.9,1097.1,898.6,985.2,1102.3,-1111.1,10.8,33.7,17.1,-1111.1,-1111.1,-1111.1,3.0,11.3,6,-1111.1,-1111.1
2675,48,309,McLennan,Texas,TX,7,75.8,72.7,78.5,76.5,895.8,782.1,1107.4,898.6,872.9,918.7,16.0,15.5,25.1,17.1,11.8,20.2,5.9,5.4,7.4,6,4.8,7.1
2676,48,311,McMullen,Texas,TX,84,77.1,75.9,78.8,76.5,802.1,702.9,929.2,898.6,634.8,1000.0,-1111.1,9.7,19.1,17.1,-1111.1,-1111.1,-1111.1,3.1,6.4,6,-1111.1,-1111.1
2677,48,313,Madison,Texas,TX,71,74.9,73.1,76.2,76.5,934.3,937.7,1087.4,898.6,883.3,985.3,-1111.1,18.4,35.9,17.1,-1111.1,-1111.1,-1111.1,4.7,9.0,6,-1111.1,-1111.1
2678,48,315,Marion,Texas,TX,72,73.5,73.6,75.2,76.5,1005.4,953.7,1095.1,898.6,952.1,1058.7,-1111.1,18.2,34.9,17.1,-1111.1,-1111.1,-1111.1,6.1,9.6,6,-1111.1,-1111.1
2679,48,317,Martin,Texas,TX,86,77.0,66.6,77.8,76.5,978.1,804.8,1128.9,898.6,889.8,1066.4,-1111.1,11.1,36.0,17.1,-1111.1,-1111.1,-1111.1,3.9,9.9,6,-1111.1,-1111.1
2680,48,319,Mason,Texas,TX,87,75.4,75.4,77.5,76.5,865.6,745.0,995.9,898.6,789.4,941.7,-1111.1,9.9,33.3,17.1,-1111.1,-1111.1,-1111.1,2.7,10.2,6,-1111.1,-1111.1
2681,48,321,Matagorda,Texas,TX,51,74.4,72.3,77.3,76.5,1034.0,780.2,1108.1,898.6,987.3,1080.8,22.2,18.3,31.7,17.1,13.2,31.1,6.3,5.5,8.0,6,4.0,8.6
2682,48,323,Maverick,Texas,TX,51,78.1,72.3,77.3,76.5,737.5,780.2,1108.1,898.6,697.0,778.1,-1111.1,18.3,31.7,17.1,-1111.1,-1111.1,5.2,5.5,8.0,6,2.4,7.9
2683,48,325,Medina,Texas,TX,51,77.3,72.3,77.3,76.5,802.5,780.2,1108.1,898.6,762.7,842.3,-1111.1,18.3,31.7,17.1,-1111.1,-1111.1,6.2,5.5,8.0,6,3.5,9.0
2684,48,327,Menard,Texas,TX,87,75.4,75.4,77.5,76.5,912.7,745.0,995.9,898.6,814.6,1010.8,-1111.1,9.9,33.3,17.1,-1111.1,-1111.1,-1111.1,2.7,10.2,6,-1111.1,-1111.1
